TI,PY,SO,DI,topic,topic_terms
Clinical Interventions and Budding Applications of Probiotics in the Treatment and Prevention of Viral Infections,2022,Archives of Medical Research,10.1016/j.arcmed.2021.09.008,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Antidiabetic Effects of Genistein: Mechanism of Action,2023,"Endocrine, Metabolic and Immune Disorders - Drug Targets",10.2174/1871530323666230516103420,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Vitamin D Improves Klebsiella-Induced Severe Pneumonia in Rats by Regulating Intestinal Microbiota,2024,Infection and Drug Resistance,10.2147/IDR.S442330,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Current Status of Phage Therapy against Infectious Diseases and Potential Application beyond Infectious Diseases,2022,International Journal of Clinical Practice,10.1155/2022/4913146,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Causative Role of Anoxic Environment in Bacterial Regulation of Human Intestinal Function,2022,Cellular and Molecular Bioengineering,10.1007/s12195-022-00735-x,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Conducting bioinformatics analysis to predict sulforaphane-triggered adverse outcome pathways in healthy human cells,2023,Biomedicine and Pharmacotherapy,10.1016/j.biopha.2023.114316,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Cancer stem cell-immune cell collusion in immunotherapy,2023,International Journal of Cancer,10.1002/ijc.34421,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Bacterial metabolite butyrate in modulating sorafenib-targeted microRNAs to curtail its resistance in hepatocellular carcinoma,2023,Journal of Cancer Research and Clinical Oncology,10.1007/s00432-022-04544-7,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Fecal microbiota transplantation and its repercussions in patients with melanoma refractory to anti-PD-1 therapy: scope review; [Transplante de microbiota fecal e suas repercussões em pacientes com melanoma refratário à terapia anti-PD-1: revisão de escopo],2023,Revista do Colegio Brasileiro de Cirurgioes,10.1590/0100-6991e-20233490-en,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Effects of microbiota on anticancer drugs: Current knowledge and potential applications,2022,eBioMedicine,10.1016/j.ebiom.2022.104197,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Bacterial Lipopolysaccharide as a Negative Predictor of Adjuvant Gemcitabine Efficacy in Pancreatic Cancer,2022,JNCI Cancer Spectrum,10.1093/jncics/pkac039,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
TIGIT+ NK cells in combination with specific gut microbiota features predict response to checkpoint inhibitor therapy in melanoma patients,2023,BMC Cancer,10.1186/s12885-023-11551-5,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
STRESS RESPONDERS,2023,Science,10.1126/science.adk4276,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Cefiderocol Treatment for Patients with Multidrug- and Carbapenem-Resistant Pseudomonas aeruginosa Infections in the Compassionate Use Program,2023,Antimicrobial Agents and Chemotherapy,10.1128/AAC.00194-23,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Comparative analysis of the microbiome across the gut–skin axis in atopic dermatitis,2021,International Journal of Molecular Sciences,10.3390/ijms22084228,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Predicting response to neoadjuvant chemoradiotherapy in rectal cancer: from biomarkers to tumor models,2022,Therapeutic Advances in Medical Oncology,10.1177/17588359221077972,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Monogenic Immune Diseases Provide Insights Into the Mechanisms and Treatment of Chronic Graft-Versus-Host Disease,2021,Frontiers in Immunology,10.3389/fimmu.2020.574569,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Renal and non-renal response of ABC and SLC transporters in chronic kidney disease,2021,Expert Opinion on Drug Metabolism and Toxicology,10.1080/17425255.2021.1899159,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Adult-onset botulism in a Japanese woman with prolonged spore excretion,2023,Journal of Infection and Chemotherapy,10.1016/j.jiac.2023.08.009,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Research progress of risk factors and early diagnostic biomarkers of gout-induced renal injury,2022,Frontiers in Immunology,10.3389/fimmu.2022.908517,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Effect of antibiotic-administration period on hepatic bile acid profile and expression of pharmacokinetic-related proteins in mouse liver, kidney, and brain capillaries",2023,Drug Metabolism and Pharmacokinetics,10.1016/j.dmpk.2023.100494,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Pharmacogenomics of anticancer drugs: Personalising the choice and dose to manage drug response,2021,British Journal of Clinical Pharmacology,10.1111/bcp.14407,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Identification of intestinal flora-related key genes and therapeutic drugs in colorectal cancer,2020,BMC Medical Genomics,10.1186/s12920-020-00810-0,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Drug transporters in drug disposition–the year 2022 in review,2023,Drug Metabolism Reviews,10.1080/03602532.2023.2252618,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Antifungal Effect of Probiotic Lactobacillus casei on Drug-Resistant Oral Candida albicans Isolated from Patients with Hematological Malignancy: An in vitro Study,2023,Journal of Dentistry (Iran),10.30476/dentjods.2022.94792.1812,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Emerging PD-1/PD-L1 antagonists for the treatment of malignant melanoma,2021,Expert Opinion on Emerging Drugs,10.1080/14728214.2021.1901884,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Improving ICI outcomes with a little help from my microbial friends,2021,Cell Host and Microbe,10.1016/j.chom.2021.01.012,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
"Recent trends and advances in the epidemiology, synergism, and delivery system of lycopene as an anti-cancer agent",2021,Seminars in Cancer Biology,10.1016/j.semcancer.2021.03.028,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
FMT for immunotherapy-refractory melanoma,2021,Nature Reviews Gastroenterology and Hepatology,10.1038/s41575-021-00413-9,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The clinical role of the gut microbiome and fecal microbiota transplantation in allogenei stem cell transplantation,2021,Haematologica,10.3324/haematol.2020.247395,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
An Abnormal Host/Microbiomes Signature of Plasma-Derived Extracellular Vesicles Is Associated to Polycythemia Vera,2021,Frontiers in Oncology,10.3389/fonc.2021.715217,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
IFABP2 as a new prognostic biomarker for secondary non-response in rheumatoid arthritis,2023,International Immunopharmacology,10.1016/j.intimp.2023.110090,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
A novel network based linear model for prioritization of synergistic drug combinations,2022,PLoS ONE,10.1371/journal.pone.0266382,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Attributes of intestinal microbiota composition and their correlation with clinical primary non-response to anti-TNF-α agents in inflammatory bowel disease patients,2022,Bosnian Journal of Basic Medical Sciences,10.17305/bjbms.2021.6436,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Durable reduction of Clostridioides difficile infection recurrence and microbiome restoration after treatment with RBX2660: results from an open-label phase 2 clinical trial,2022,BMC Infectious Diseases,10.1186/s12879-022-07256-y,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
"Unbalanced relationships: insights into the interaction between gut microbiota, geohelminths, and schistosomiasis",2022,PeerJ,10.7717/peerj.13401,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Curcumin sensitizes response to cytarabine in acute myeloid leukemia by regulating intestinal microbiota,2022,Cancer Chemotherapy and Pharmacology,10.1007/s00280-021-04385-0,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Genetics in Familial Intrahepatic Cholestasis: Clinical Patterns and Development of Liver and Biliary Cancers: A Review of the Literature,2022,Cancers,10.3390/cancers14143421,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
"Head and neck dermatitis is exacerbated by Malassezia furfur colonization, skin barrier disruption, and immune dysregulation",2023,Frontiers in Immunology,10.3389/fimmu.2023.1114321,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fecal Microbiota Transplant for Clostridioides Difficile Infection Is Safe and Efficacious in an Immunocompromised Cohort,2022,Digestive Diseases and Sciences,10.1007/s10620-021-07347-x,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Evaluating gut microbiome as a biomarker of pathological complete response in patients with early locally advanced triple negative breast cancer (LA TNBC): A pilot study,2024,Journal of Clinical Oncology,10.1200/JCO.2024.42.16_suppl.593,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
A comparison of the microbiology profile for periprosthetic joint infection of knee arthroplasty and lower-limb endoprostheses in tumour surgery,2022,Journal of Bone and Joint Infection,10.5194/jbji-7-177-2022,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Questions to consider when caring for patients with ulcerative colitis,2022,Zeitschrift fur Gastroenterologie,10.1055/a-1890-6015,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Key Signaling in Alcohol‐Associated Liver Disease: The Role of Bile Acids,2022,Cells,10.3390/cells11081374,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Recent Insight into Herbal Bioactives-based Novel Approaches for Chronic Intestinal Inflammatory Disorders Therapy,2024,Current Pharmaceutical Biotechnology,10.2174/0113892010282432231222060355,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Targeting the tumor microenvironment for improving therapeutic effectiveness in cancer immunotherapy: Focusing on immune checkpoint inhibitors and combination therapies,2021,Cancers,10.3390/cancers13061188,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
"The microbiome and ovarian cancer: insights, implications, and therapeutic opportunities",2023,Journal of Cancer Metastasis and Treatment,10.20517/2394-4722.2023.107,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
A multi-cohort phase 1b trial of rituximab in combination with immunotherapy doublets in relapsed/refractory follicular lymphoma,2024,Annals of Hematology,10.1007/s00277-023-05475-0,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
The biological underpinnings of therapeutic resistance in pancreatic cancer,2021,Genes and Development,10.1101/GAD.348523.121,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
"Obesity and cancer stem cells: Roles in cancer initiation, progression and therapy resistance",2023,World Journal of Stem Cells,10.4252/wjsc.v15.i4.120,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
ECP versus ruxolitinib in steroid-refractory acute GVHD – a retrospective study by the EBMT transplant complications working party,2023,Frontiers in Immunology,10.3389/fimmu.2023.1283034,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Multi-strain Probiotic Formulation Reverses Maternal Separation and Chronic Unpredictable Mild Stress-Generated Anxiety- and Depression-like Phenotypes by Modulating Gut Microbiome-Brain Activity in Rats,2022,ACS Chemical Neuroscience,10.1021/acschemneuro.2c00143,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Common themes in antimicrobial and anticancer drug resistance,2022,Frontiers in Microbiology,10.3389/fmicb.2022.960693,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
"Results of a phase II, open-label pilot study evaluating the safety and activity of liposomal irinotecan (Nal-IRI) in combination with 5-FU and oxaliplatin (NALIRIFOX) in preoperative treatment of pancreatic adenocarcinoma (NEO-Nal-IRI study)",2024,Journal of Clinical Oncology,10.1200/JCO.2024.42.3_suppl.655,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Autologous stem cell transplant for refractory and relapsed peripheral T-cell lymphoma: a retrospective study in China,2024,Journal of Cancer,10.7150/jca.89404,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Tumor-resident Lactobacillus iners confer chemoradiation resistance through lactate-induced metabolic rewiring,2023,Cancer Cell,10.1016/j.ccell.2023.09.012,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Regulation of CYP450 and drug transporter mediated by gut microbiota under high-altitude hypoxia,2022,Frontiers in Pharmacology,10.3389/fphar.2022.977370,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Tandem fecal microbiota transplantation cycles in an allogeneic hematopoietic stem cell transplant recipient targeting carbapenem-resistant Enterobacteriaceae colonization: a case report and literature review,2021,European Journal of Medical Research,10.1186/s40001-021-00508-8,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
"OAT, OATP, and MRP Drug Transporters and the Remote Sensing and Signaling Theory",2023,Annual Review of Pharmacology and Toxicology,10.1146/annurev-pharmtox-030322-084058,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Future prospects of bacteria-mediated cancer therapies: Affliction or opportunity?,2022,Microbial Pathogenesis,10.1016/j.micpath.2022.105795,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Baicalin ameliorates multidrug-resistant Pseudomonas aeruginosa induced pulmonary inflammation in rat via arginine biosynthesis,2023,Biomedicine and Pharmacotherapy,10.1016/j.biopha.2023.114660,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Challenges and Therapeutic Opportunities in the dMMR/MSI-H Colorectal Cancer Landscape,2023,Cancers,10.3390/cancers15041022,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Steroid-resistant intestinal aGVHD and refractory CMV and EBV infections complicated by haplo-HSCT were successfully rescued by FMT and CTL infusion,2021,Journal of International Medical Research,10.1177/03000605211063292,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut,2021,Microbiome,10.1186/s40168-020-00980-0,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Acute GVHD: think before you treat,2021,Hematology (United States),10.1182/hematology.2021000300,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Fecal microbiota transplantation for treatment of inflammatory bowel lesions in lymphoma patients: effects on intestinal and blood microbiota,2023,Cellular Therapy and Transplantation,10.18620/ctt-1866-8836-2023-12-3-36-43,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Cytochrome P450 inhibition to decrease dosage and costs of venetoclax and ibrutinib: A proof-of-concept case study,2023,British Journal of Clinical Pharmacology,10.1111/bcp.15590,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
"The 21st International Conference on Progress in Vaccination against Cancer (PIVAC-22), September 26-28, 2022, Turin, Italy",2022,Frontiers in bioscience (Landmark edition),10.31083/j.fbl2712338,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Postnatal growth retardation is associated with deteriorated intestinal mucosal barrier function using a porcine model,2021,Journal of Cellular Physiology,10.1002/jcp.30028,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Fecal microbiota transfer for refractory intestinal graft-versus-host disease — Experience from two German tertiary centers,2021,European Journal of Haematology,10.1111/ejh.13642,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Mechanisms by Which Traditional Chinese Medicines Influence the Intestinal Flora and Intestinal Barrier,2022,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2022.863779,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Microbiome modulation in the prevention and management of colorectal cancer: a systematic review of clinical interventions,2023,Medicine and Pharmacy Reports,10.15386/mpr-2526,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Exploring the complex and multifaceted interplay of the gut microbiome and cancer prevention and therapy,2023,Acta Microbiologica et Immunologica Hungarica,10.1556/030.2023.02054,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Risk factors for immune-related adverse events: what have we learned and what lies ahead?,2021,Biomarker Research,10.1186/s40364-021-00314-8,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Lytic Bacteriophage PZL-Ah152 as Biocontrol Measures Against Lethal Aeromonas hydrophila Without Distorting Gut Microbiota,2022,Frontiers in Microbiology,10.3389/fmicb.2022.898961,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Indole microbial intestinal metabolites expand the repertoire of ligands and agonists of the human pregnane X receptor,2020,Toxicology Letters,10.1016/j.toxlet.2020.09.015,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Molecular and pharmacological aspects of piperine as a potential molecule for disease prevention and management: evidence from clinical trials,2022,Beni-Suef University Journal of Basic and Applied Sciences,10.1186/s43088-022-00196-1,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Gut microbiome modulates tacrolimus pharmacokinetics through the transcriptional regulation of ABCB1,2023,Microbiome,10.1186/s40168-023-01578-y,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The Role of the Lymphatic System in the Pathogenesis and Treatment of Inflammatory Bowel Disease,2022,International Journal of Molecular Sciences,10.3390/ijms23031854,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
"Role of oral microbiome in oral oncogenesis, tumor progression, and metastasis",2023,Molecular Oral Microbiology,10.1111/omi.12403,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Immune Mechanisms in Epileptogenesis: Update on Diagnosis and Treatment of Autoimmune Epilepsy Syndromes,2023,Drugs,10.1007/s40265-022-01826-9,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
MRD-negative remission induced in EP300-ZNF384 positive B-ALL patients by tandem CD19/CD22 CAR T-cell therapy bridging to allogeneic stem cell transplantation,2021,OncoTargets and Therapy,10.2147/OTT.S324765,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
New insights on the surgical management of ulcerative colitis in the 21st century,2022,The Lancet Gastroenterology and Hepatology,10.1016/S2468-1253(22)00001-2,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Involvement of smad7 in inflammatory diseases of the gut and colon cancer,2021,International Journal of Molecular Sciences,10.3390/ijms22083922,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Differential diagnosis and management of immune checkpoint inhibitor-induced colitis: A comprehensive review,2021,World Journal of Experimental Medicine,10.5493/wjem.v11.i6.79,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Gut Microbiota Modulation for Therapeutic Management of Various Dis-eases: A New Perspective Using Stem Cell Therapy,2023,Current Molecular Pharmacology,10.2174/1874467215666220222105004,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The kidney drug transporter OAT1 regulates gut microbiome–dependent host metabolism,2023,JCI Insight,10.1172/jci.insight.160437,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Fecal Microbiota Transplantation as Therapy for Treatment of Active Ulcerative Colitis: A Systematic Review and Meta-Analysis,2021,Gastroenterology Research and Practice,10.1155/2021/6612970,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Decoding signaling mechanisms: unraveling the targets of guanylate cyclase agonists in cardiovascular and digestive diseases,2023,Frontiers in Pharmacology,10.3389/fphar.2023.1272073,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Autophagy and digestive disorders: Advances in understanding and therapeutic approaches,2021,Biomolecules and Therapeutics,10.4062/BIOMOLTHER.2021.086,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Gastrointestinal Conditions: Inflammatory Bowel Disease,2022,FP essentials,,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Foods may modify responsiveness to cancer immune checkpoint blockers by altering both the gut microbiota and activation of estrogen receptors in immune cells,2022,Frontiers in Microbiomes,10.3389/frmbi.2022.1049688,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Classification and Management of Disorders of the J Pouch,2023,American Journal of Gastroenterology,10.14309/ajg.0000000000002348,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
HUMAN MICROBIOTA AND BREAST CANCER; [МІКРОБІОТА ОРГАНІЗМУ ЛЮДИНИ ТА РАК ГРУДНОЇ ЗАЛОЗИ],2022,Experimental Oncology,10.32471/exp-oncology.2312-8852.vol-44-no-2.17855,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
CD4þ TIL to the Rescue of Anti–PD-1 Failure by Targeting MHC-II,2023,Clinical Cancer Research,10.1158/1078-0432.CCR-23-1333,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Metformin may be a viable adjunctive therapeutic option to potentially enhance immune reconstitution in HIV-positive immunological non-responders,2023,Chinese Medical Journal,10.1097/CM9.0000000000002493,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Farnesoid X Receptor Agonist GW4064 Protects Lipopolysaccharide-Induced Intestinal Epithelial Barrier Function and Colorectal Tumorigenesis Signaling through the αKlotho/βKlotho/FGFs Pathways in Mice,2023,International Journal of Molecular Sciences,10.3390/ijms242316932,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Feasibility and tolerability of sintilimab plus anlotinib as the second-line therapy for patients with advanced biliary tract cancers: An open-label, single-arm, phase II clinical trial",2023,International Journal of Cancer,10.1002/ijc.34372,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Next generation organoid engineering to replace animals in cancer drug testing,2023,Biochemical Pharmacology,10.1016/j.bcp.2023.115586,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
An Insight into the Arising Role of MicroRNAs in Hepatocellular Carcinoma: Future Diagnostic and Therapeutic Approaches,2023,International Journal of Molecular Sciences,10.3390/ijms24087168,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
The preventative effects of Lactococcus Lactis metabolites against LPS-induced sepsis,2024,Frontiers in Microbiology,10.3389/fmicb.2024.1404652,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Mitochondrial dysfunction-associated microbiota establishes a transmissible refractory response to anti-TNF therapy during ulcerative colitis,2023,Gut Microbes,10.1080/19490976.2023.2266626,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Mechanism and strategies of immunotherapy resistance in colorectal cancer,2022,Frontiers in Immunology,10.3389/fimmu.2022.1016646,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Characteristics of Gut Microbiota in Children With Biliary Atresia After Liver Transplantation,2021,Frontiers in Physiology,10.3389/fphys.2021.704313,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
The Emerging Role of Metformin in the Prevention and Treatment of Col-orectal Cancer: A Game Changer for the Management of Colorectal Cancer,2022,Current Diabetes Reviews,10.2174/1573399818666211105125129,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"Resistance to immunotherapy in human malignancies: Mechanisms, research progresses, challenges, and opportunities",2022,Journal of Cellular Physiology,10.1002/jcp.30575,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Trials and tribulations of pancreatic cancer immunotherapy,2021,Cancer Letters,10.1016/j.canlet.2021.01.031,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Molecular mechanisms of polysaccharides from Ziziphus jujuba Mill var. spinosa seeds regulating the bioavailability of spinosin and preventing colitis,2020,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2020.07.229,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Comparison of Laboratory Methods for the Clinical Follow Up of Checkpoint Blockade Therapies in Leukemia: Current Status and Challenges Ahead,2022,Frontiers in Oncology,10.3389/fonc.2022.789728,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Molecular vulnerabilities and therapeutic resistance in hormone receptor positive and HER2 dependent breast cancer tumours,2022,Cancer Drug Resistance,10.20517/cdr.2022.10,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Uptake and Advanced Therapy of Butyrate in Inflammatory Bowel Disease,2022,Immuno,10.3390/immuno2040042,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Jianpi Huayu Decoction enhances the effect of sorafenib and alleviates adverse events in hepatocellular carcinoma by remodeling the gut microbiota,2022,Pharmacological Research - Modern Chinese Medicine,10.1016/j.prmcm.2022.100057,9,"hcc, liver, hepatocellular, carcinoma, hepatocellular carcinoma, tumor, immune, sorafenib, resistance, immunotherapy"
Host Immune Responses to Clostridioides difficile: Toxins and Beyond,2021,Frontiers in Microbiology,10.3389/fmicb.2021.804949,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Targeting epigenetic and posttranslational modifications regulating ferroptosis for the treatment of diseases,2023,Signal Transduction and Targeted Therapy,10.1038/s41392-023-01720-0,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
